family	run_id	workflow_attempt	job_id	head_sha	job_conclusion	outcome	title	failure	source_log_line
stored baseline reset	34800906961	1	103843248051	d4550305fe4b560f749ad4b0082c6a5c9d62c069	success	retry_recovered	e2e/design.spec.ts:12883:3 › the stored skip (Phase RW PR C) › resetting the baselines brings the doors back	2026-09-14T03:06:03.5246004Z     Error: expect(locator).toBeVisible() failed	1164
Apple link Google-proof continuation	34839024427	1	103959457513	fa31c870a1265d15fd8e350145a1085ebf3e0fb1	success	retry_recovered	e2e/appleAuth.spec.ts:210:1 › linking Apple proves Google then Apple and preserves the signed-in account's real workout	2026-09-14T11:45:34.2148836Z     Error: expect(locator).toBeVisible() failed	1179
Releases synchronous render timeout	34845000865	1	103978738691	08eac82447eda598229d3eab1ec43d209182e75e	failure	job_failed	client  src/news/Releases.test.tsx > Releases > renders each release's version, date, and every item	2026-09-14T12:51:21.7529226Z Error: Test timed out in 5000ms.	4372
unclassified	34862418501	1	104037820908	2c0709d7331c2cc41d17eea3c30af264cf11e4a5	failure	retries_exhausted	e2e/news.spec.ts:211:1 › /news/releases lists every version, newest first	2026-09-14T15:38:39.6022310Z     Error: expect(locator).toHaveCount(expected) failed	1187
Releases synchronous render timeout	34876650602	1	104085459608	8486a349f5ac8e709e3cc67a3b518e645ecbbd6a	failure	job_failed	client  src/news/Releases.test.tsx > Releases > renders each release's version, date, and every item	2026-09-14T17:53:12.7626392Z Error: Test timed out in 5000ms.	4383
Releases synchronous render timeout	34877745107	1	104089107656	b6ede0123d4db52f56d0c767eefaa0103ea588f8	failure	job_failed	client  src/news/Releases.test.tsx > Releases > renders each release's version, date, and every item	2026-09-14T18:04:16.4950573Z Error: Test timed out in 5000ms.	4376
Releases synchronous render timeout	34973719187	1	104396115209	da58d1b93fc6c3098e6c359f057f30cfc872c71d	failure	job_failed	client  src/news/Releases.test.tsx > Releases > renders each release's version, date, and every item	2026-09-15T13:23:07.0075120Z Error: Test timed out in 5000ms.	4405
Releases synchronous render timeout	34975109761	1	104400813906	f3b5a2f9fba913318a5742f0518de3fb154fc1e0	failure	job_failed	client  src/news/Releases.test.tsx > Releases > renders each release's version, date, and every item	2026-09-15T13:35:20.8477663Z Error: Test timed out in 5000ms.	4388
Apple link Google-proof continuation	34990132775	1	104452620517	c0d9406ca6de4d7daf5bc9f47d2e9bbef1592c58	failure	retries_exhausted	e2e/appleAuth.spec.ts:210:1 › linking Apple proves Google then Apple and preserves the signed-in account's real workout	2026-09-15T15:52:14.5315808Z     Error: expect(locator).toHaveText(expected) failed	1249
Apple link Google-proof continuation	34991444355	1	104456898945	8e7000066f779aee6d577072f210f7e6a2656b70	failure	retries_exhausted	e2e/appleAuth.spec.ts:210:1 › linking Apple proves Google then Apple and preserves the signed-in account's real workout	2026-09-15T16:03:05.2539822Z     Error: expect(locator).toHaveText(expected) failed	1240
